Name: Vo Pham Mai Uyen,ID:1831100044
Report Database -- PROJECTD

Speed,Direction
0.0,1,2023-06-30 10:52:51
0.0,1,2023-06-30 10:52:54
0.0,1,2023-06-30 10:52:57
0.0,1,2023-06-30 10:53:00
0.0,1,2023-06-30 10:53:03
0.0,1,2023-06-30 10:53:06
0.0,1,2023-06-30 10:53:09
0.0,1,2023-06-30 10:53:13
0.0,1,2023-06-30 10:53:16
0.0,1,2023-06-30 10:53:19
0.0,1,2023-06-30 10:53:22
0.0,1,2023-06-30 10:53:25
0.0,1,2023-06-30 10:53:28
0.0,1,2023-06-30 10:53:31
0.0,1,2023-06-30 10:53:34
0.0,1,2023-06-30 10:53:37
0.0,1,2023-06-30 10:53:40
13.99,1,2023-06-30 10:53:43
14.86,1,2023-06-30 10:53:46
14.86,1,2023-06-30 10:53:50
14.42,1,2023-06-30 10:53:53
15.3,1,2023-06-30 10:53:56
0.0,1,2023-06-30 10:53:59
0.0,1,2023-06-30 10:54:02
0.0,1,2023-06-30 10:54:05
0.0,1,2023-06-30 10:54:08
0.0,1,2023-06-30 10:54:11
0.0,1,2023-06-30 10:54:14
0.0,1,2023-06-30 10:54:17
0.0,1,2023-06-30 10:54:20
0.0,1,2023-06-30 10:54:24
0.0,1,2023-06-30 10:54:27
0.0,1,2023-06-30 10:54:30
0.0,1,2023-06-30 10:54:33
0.0,1,2023-06-30 10:54:36
0.0,1,2023-06-30 10:54:39
0.0,1,2023-06-30 10:54:42
0.0,1,2023-06-30 10:54:45
27.97,1,2023-06-30 10:54:48
27.1,1,2023-06-30 10:54:51
0.0,1,2023-06-30 10:54:54
0.0,1,2023-06-30 10:54:57
28.85,1,2023-06-30 10:55:01
0.0,1,2023-06-30 10:55:04
29.28,1,2023-06-30 10:55:07
29.28,1,2023-06-30 10:55:10
28.41,1,2023-06-30 10:55:13
27.97,-1,2023-06-30 10:55:16
0.0,-1,2023-06-30 10:55:19
0.0,-1,2023-06-30 10:55:22
0.0,-1,2023-06-30 10:55:25
0.0,-1,2023-06-30 10:55:28
0.0,-1,2023-06-30 10:55:31
0.0,-1,2023-06-30 10:55:34
0.0,-1,2023-06-30 10:55:38
0.0,-1,2023-06-30 10:55:41
0.0,-1,2023-06-30 10:55:44
0.0,-1,2023-06-30 10:55:47
0.0,-1,2023-06-30 10:55:50
28.85,-1,2023-06-30 10:55:53
29.72,-1,2023-06-30 10:55:56
26.66,-1,2023-06-30 10:55:59
0.0,1,2023-06-30 10:56:02
0.0,1,2023-06-30 10:56:05
0.0,1,2023-06-30 10:56:08
0.0,1,2023-06-30 10:56:12
0.0,1,2023-06-30 10:56:15
0.0,1,2023-06-30 10:56:18
0.0,1,2023-06-30 10:56:21
0.0,1,2023-06-30 10:56:24
0.0,1,2023-06-30 10:56:27
0.0,1,2023-06-30 10:56:30
0.0,1,2023-06-30 10:56:33
0.0,1,2023-06-30 10:56:36
0.0,1,2023-06-30 10:56:39
0.0,1,2023-06-30 10:56:42
0.0,1,2023-06-30 10:56:45
0.0,1,2023-06-30 10:56:49
0.0,1,2023-06-30 10:56:52
0.0,1,2023-06-30 10:56:55
0.0,1,2023-06-30 10:56:58
0.0,1,2023-06-30 10:57:01
0.0,1,2023-06-30 10:57:04
